question,answer,source,focus_area,category,is_relevant
How to prevent Diabetes ?,"Your weight affects your health in many ways. Being overweight can keep your body from making and using insulin properly. It can also cause high blood pressure. If you are overweight or obese, choose sensible ways to reach and maintain a reasonable body weight. - Make healthy food choices. What you eat has a big impact on your weight and overall health. By developing healthy eating habits you can help control your body weight, blood pressure, and cholesterol. Reducing portion size, increasing the amount of fiber you consume (by eating more fruits and vegetables) and limiting fatty and salty foods are key to a healthy diet. Make healthy food choices. What you eat has a big impact on your weight and overall health. By developing healthy eating habits you can help control your body weight, blood pressure, and cholesterol. Reducing portion size, increasing the amount of fiber you consume (by eating more fruits and vegetables) and limiting fatty and salty foods are key to a healthy diet. -  Get at least 30 minutes of exercise at least five days a week. Regular exercise reduces diabetes risk in several ways: it helps you lose weight, controls your cholesterol and blood pressure, and improves your body's use of insulin. Many people make walking part of their daily routine because it's easy, fun and convenient. But you can choose any activity that gets you moving. It's fine to break up your 30 minutes of exercise into smaller increments, such as three 10-minute periods. Check with your doctor before beginning any exercise program.   Get at least 30 minutes of exercise at least five days a week. Regular exercise reduces diabetes risk in several ways: it helps you lose weight, controls your cholesterol and blood pressure, and improves your body's use of insulin. Many people make walking part of their daily routine because it's easy, fun and convenient. But you can choose any activity that gets you moving. It's fine to break up your 30 minutes of exercise into smaller increments, such as three 10-minute periods. Check with your doctor before beginning any exercise program.",NIHSeniorHealth,Diabetes,Endocrine/Metabolic,True
What is (are) Meningitis ?,"Meningitis is inflammation of the thin tissue that surrounds the brain and spinal cord, called the meninges. There are several types of meningitis. The most common is viral meningitis, which you get when a virus enters the body through the nose or mouth and travels to the brain. Bacterial meningitis is rare, but can be deadly. It usually starts with bacteria that cause a cold-like infection. It can block blood vessels in the brain and lead to stroke and brain damage. It can also harm other organs. Pneumococcal infections and meningococcal infections can cause bacterial meningitis.    Anyone can get meningitis, but it is more common in people whose bodies have trouble fighting infections. Meningitis can progress rapidly. You should seek medical care quickly if you have       - A sudden fever     - A severe headache     - A stiff neck        Early treatment can help prevent serious problems, including death. Vaccines can prevent some of the bacterial infections that cause meningitis. Parents of adolescents and students living in college dorms should talk to a doctor about the vaccination.     NIH: National Institute of Neurological Disorders and Stroke",MPlusHealthTopics,Meningitis,Neurological,True
Who is at risk for Atrial Fibrillation? ?,"Atrial fibrillation (AF) affects millions of people, and the number is rising. Men are more likely than women to have the condition. In the United States, AF is more common among Whites than African Americans or Hispanic Americans.
                
The risk of AF increases as you age. This is mostly because your risk for heart disease and other conditions that can cause AF also increases as you age. However, about half of the people who have AF are younger than 75.
                
AF is uncommon in children.
                
Major Risk Factors
                
AF is more common in people who have:
                
High blood pressure
                
Coronary heart disease (CHD)
                
Heart failure
                
Rheumatic (ru-MAT-ik) heart disease
                
Structural heart defects, such as mitral valve prolapse
                
Pericarditis (PER-i-kar-DI-tis; a condition in which the membrane, or sac, around your heart is inflamed)
                
Congenital heart defects
                
Sick sinus syndrome (a condition in which the heart's electrical signals don't fire properly and the heart rate slows down; sometimes the heart will switch back and forth between a slow rate and a fast rate)
                
AF also is more common in people who are having heart attacks or who have just had surgery.
                
Other Risk Factors
                
Other conditions that raise your risk for AF include hyperthyroidism (too much thyroid hormone), obesity, diabetes, and lung disease.
                
Certain factors also can raise your risk for AF. For example, drinking large amounts of alcohol, especially binge drinking, raises your risk. Even modest amounts of alcohol can trigger AF in some people. Caffeine or psychological stress also may trigger AF in some people.
                
Some data suggest that people who have sleep apnea are at greater risk for AF. Sleep apnea is a common disorder that causes one or more pauses in breathing or shallow breaths while you sleep.
                
Metabolic syndrome also raises your risk for AF. Metabolic syndrome is the name for a group of risk factors that raises your risk for CHD and other health problems, such as diabetes and stroke.
                
Research suggests that people who receive high-dose steroid therapy are at increased risk for AF. This therapy is used for asthma and some inflammatory conditions. It may act as a trigger in people who have other AF risk factors.
                
Genetic factors also may play a role in causing AF. However, their role isn't fully known.",NHLBI,Atrial Fibrillation,Cardiovascular,True
What to do for Gallstones ?,"Factors related to eating, diet, and nutrition that increase the risk of gallstones include
                
- obesity   - rapid weight loss   - diets high in calories and refi ned carbohydrates and low in fi ber
                
People can decrease their risk of gallstones by maintaining a healthy weight through proper diet and nutrition.
                
Ursodiol can help prevent gallstones in people who rapidly lose weight through low-calorie diets or bariatric surgery. People should talk with their health care provider or dietitian about what diet is right for them.",NIDDK,Gallstones,Gastrointestinal,True
How to diagnose Anxiety Disorders ?,"Anxiety disorders sometimes run in families, but no one knows for sure why some people have them while others don't. Anxiety disorders are more common among younger adults than older adults, and they typically start in early life. However, anyone can develop an anxiety disorder at any time. Below are risk factors for these anxiety disorders. - Generalized Anxiety Disorder (GAD)  -  Social Anxiety Disorder (Social Phobia)  - Panic Disorder Generalized Anxiety Disorder (GAD) Social Anxiety Disorder (Social Phobia) Panic Disorder Generalized Anxiety Disorder - Risk Factors Generalized anxiety disorder (GAD) affects about 6.8 million American adults, including twice as many women as men. The disorder develops gradually and can begin at any point in the life cycle, although the years of highest risk are between childhood and middle age. The average age of onset is 31 years old. Social Phobia - Risk Factors Social phobia affects about 15 million American adults. Women and men are equally likely to develop the disorder, which usually begins in childhood or early adolescence. There is some evidence that genetic factors are involved. Panic Disorder - Risk Factors Panic disorder affects about 6 million American adults and is twice as common in women as men. Panic attacks often begin in late adolescence or early adulthood, but not everyone who experiences panic attacks will develop panic disorder. Many people have just one attack and never have another. The tendency to develop panic attacks appears to be inherited. Diagnosis Can Be Difficult There are a number of reasons why it can be difficult to accurately diagnose an anxiety disorder in older adults. - Anxiety disorders among older adults frequently occur at the same time as other illnesses such as depression, diabetes, heart disease, or a number of other medical illnesses. Problems with cognition (thinking) and changes in life circumstances can also complicate matters. Sometimes the physical signs of these illnesses can get mixed up with the symptoms of anxiety, making it difficult to determine if a person has a true anxiety disorder. For instance, a person with heart disease sometimes has chest pain, which can also be a symptom of a panic disorder.  Anxiety disorders among older adults frequently occur at the same time as other illnesses such as depression, diabetes, heart disease, or a number of other medical illnesses. Problems with cognition (thinking) and changes in life circumstances can also complicate matters. Sometimes the physical signs of these illnesses can get mixed up with the symptoms of anxiety, making it difficult to determine if a person has a true anxiety disorder. For instance, a person with heart disease sometimes has chest pain, which can also be a symptom of a panic disorder. -  Doctors can have difficulty distinguishing between anxiety caused by adapting to difficult life changes, and a true anxiety disorder. For example, if you fell and broke a hip, you may be justifiably fearful of going out for a while. But that would not mean you have developed an anxiety disorder. Doctors can have difficulty distinguishing between anxiety caused by adapting to difficult life changes, and a true anxiety disorder. For example, if you fell and broke a hip, you may be justifiably fearful of going out for a while. But that would not mean you have developed an anxiety disorder. - Sometimes the worrying symptoms of a medical illness can lead to an anxiety disorder. Or, sometimes the side effects of medication can cause anxiety. Also, a disability or a change in lifestyle caused by a medical illness may lead to an anxiety disorder. Muscle tightness, feeling very tense all the time, and difficulty sleeping can also be symptoms of a physical illness or an anxiety disorder, complicating diagnosis. Sometimes the worrying symptoms of a medical illness can lead to an anxiety disorder. Or, sometimes the side effects of medication can cause anxiety. Also, a disability or a change in lifestyle caused by a medical illness may lead to an anxiety disorder. Muscle tightness, feeling very tense all the time, and difficulty sleeping can also be symptoms of a physical illness or an anxiety disorder, complicating diagnosis. Diagnosis Here is how these anxiety disorders are diagnosed. - Generalized Anxiety Disorder (GAD)  - Panic Disorder  - Social Anxiety Disorder (Social Phobia) Generalized Anxiety Disorder (GAD) Panic Disorder Social Anxiety Disorder (Social Phobia) Generalized Anxiety Disorder (GAD) - Diagnosis GAD can be diagnosed once a person worries excessively about a variety of everyday problems for at least 6 months. People with GAD may visit a doctor many times before they find out they have this disorder. They ask their doctors to help them with headaches or trouble falling asleep, which can be symptoms of GAD, but they don't always get the help they need right away. It may take doctors some time to be sure that a person has GAD instead of something else. Social Phobia - Diagnosis A doctor can tell that a person has social phobia if the person has had symptoms for at least 6 months. Social phobia usually starts during youth. Without treatment, it can last for many years or a lifetime. Panic Disorder - Diagnosis People with panic disorder may sometimes go from doctor to doctor for years and visit the emergency room repeatedly before someone correctly diagnoses their condition. This is unfortunate, because panic disorder is one of the most treatable of all the anxiety disorders, responding in most cases to certain kinds of medication or certain kinds of cognitive psychotherapy, which help change thinking patterns that lead to fear and anxiety. If You Have Symptoms Anxiety disorders are treatable. If you think you have an anxiety disorder, talk to your family doctor. Your doctor should do an exam to make sure that another physical problem isn't causing the symptoms. The doctor may refer you to a mental health specialist. You should feel comfortable talking with the mental health specialist you choose. If you do not, seek help elsewhere. Once you find a mental health specialist you are comfortable with, you should work as a team and make a plan to treat your anxiety disorder together. Talk About About Past Treatment People with anxiety disorders who have already received treatment for an anxiety disorder should tell their doctor about that treatment in detail. If they received medication, they should tell their doctor what medication was used, what the dosage was at the beginning of treatment, whether the dosage was increased or decreased while they were under treatment, what side effects may have occurred, and whether the treatment helped them become less anxious. If they received psychotherapy, they should describe the type of therapy, how often they attended sessions, and whether the therapy was useful.",NIHSeniorHealth,Anxiety Disorders,Unrelated,False
What are the treatments for Colorectal Cancer ?,"Treatments are available for all patients who have colon cancer. The choice of treatment depends on the size, location, and stage of the cancer and on the patient's general health. Doctors may suggest several treatments or combinations of treatments. Surgery Is the Most Common First Step in a Treatment Regimen The three standard treatments for colon cancer are surgery, chemotherapy, and radiation. Surgery, however, is the most common first step in the treatment for all stages of colon cancer. Surgery is an operation to remove the cancer. A doctor may remove the cancer using several types of surgery. Local Excision If the cancer is found at a very early stage, the doctor may remove it without cutting through the abdominal wall. Instead, the doctor may put a tube up the rectum into the colon and cut the cancer out. This is called a local excision. If the cancer is found in a polyp, which is a small bulging piece of tissue, the operation is called a polypectomy. Colectomy If the cancer is larger, the surgeon will remove the cancer and a small amount of healthy tissue around it. This is called a colectomy. The surgeon may then sew the healthy parts of the colon together. Usually, the surgeon will also remove lymph nodes near the colon and examine them under a microscope to see whether they contain cancer. Colostomy If the doctor is not able to sew the two ends of the colon back together, an opening called a stoma is made on the abdomen for waste to pass out of the body before it reaches the rectum. This procedure is called a colostomy. Sometimes the colostomy is needed only until the lower colon has healed, and then it can be reversed. But if the doctor needs to remove the entire lower colon or rectum, the colostomy may be permanent. Adjuvant Chemotherapy Even if the doctor removes all of the cancer that can be seen at the time of the operation, many patients receive chemotherapy after surgery to kill any cancer cells that are left. Chemotherapy treatment after surgery -- to increase the chances of a cure -- is called adjuvant therapy. Researchers have found that patients who received adjuvant therapy usually survived longer and went for longer periods of time without a recurrence of colon cancer than patients treated with surgery alone. Patients age 70 and older benefited from adjuvant treatment as much as their younger counterparts. In fact, adjuvant therapy is equally as effective -- and no more toxic -- for patients 70 and older as it is for younger patients, provided the older patients have no other serious diseases. Adjuvant chemotherapy is standard treatment for patients whose cancer is operable and who are at high risk for a recurrence of the disease. Most cases of colon cancer occur in individuals age 65 and over. But studies have shown that older patients receive adjuvant chemotherapy less frequently than younger patients. Chemotherapy Chemotherapy is the use of anti-cancer drugs to kill cancer cells. Chemotherapy may be taken by mouth, or it may be put into the body by inserting a needle into a vein or muscle. One form of chemotherapy is called systemic treatment because the drugs enter the bloodstream, travel through the body, and can kill cancer cells throughout the body. The other form of chemotherapy is called targeted therapy because the drug affects only the factors that are causing the cancer and does not perturb the rest of the body. Radiation Therapy Radiation therapy is the use of x-rays or other types of radiation to kill cancer cells and shrink tumors. Most often, doctors use it for patients whose cancer is in the rectum. Doctors may use radiation before surgery to shrink a tumor in the rectum and make it easier to remove. Or, they may use it after surgery to destroy any cancer cells that remain in the treated area. The radiation may come from a machine or from implants placed directly into or near the tumor. Radiation that comes from a machine is called external radiation. Radiation that uses implants is known as internal radiation. Some patients have both kinds of therapy.",NIHSeniorHealth,Colorectal Cancer,Gastrointestinal,True
What is (are) Hemorrhoids ?,"Hemorrhoids are swollen and inflamed veins around the anus or in the lower rectum. The rectum is the last part of the large intestine leading to the anus. The anus is the opening at the end of the digestive tract where bowel contents leave the body.
                
External hemorrhoids are located under the skin around the anus. Internal hemorrhoids develop in the lower rectum. Internal hemorrhoids may protrude, or prolapse, through the anus. Most prolapsed hemorrhoids shrink back inside the rectum on their own. Severely prolapsed hemorrhoids may protrude permanently and require treatment.",NIDDK,Hemorrhoids,Gastrointestinal,True
How to diagnose Heart Failure ?,"There is not one specific test to diagnose heart failure. Because the symptoms are common for other conditions, your doctor will determine if you have heart failure by doing a detailed medical history, an examination, and several tests. During a physical exam, a doctor will listen for abnormal heart sounds and lung sounds that indicate fluid buildup, as well as look for signs of swelling. If there are signs of heart failure, the doctor may order several tests, including: - an EKG, or electrocardiogram, to measure the rate and regularity of the heartbeat  - a chest X-ray to evaluate the heart and lungs  - a BNP blood test to measure the level of a hormone called BNP that increases when heart failure is present. an EKG, or electrocardiogram, to measure the rate and regularity of the heartbeat a chest X-ray to evaluate the heart and lungs a BNP blood test to measure the level of a hormone called BNP that increases when heart failure is present.",NIHSeniorHealth,Heart Failure,Cardiovascular,True
What are the symptoms of Diabetes ?,"Many people with diabetes experience one or more symptoms, including extreme thirst or hunger, a frequent need to urinate and/or fatigue. Some lose weight without trying. Additional signs include sores that heal slowly, dry, itchy skin, loss of feeling or tingling in the feet and blurry eyesight. Some people with diabetes, however, have no symptoms at all.",NIHSeniorHealth,Diabetes,Endocrine/Metabolic,True
How to prevent Alzheimer's Disease ?,"Currently, no medicines or other treatments are known to prevent Alzheimers disease, but scientists are studying many possibilities. These possibilities include lifestyle factors such as exercise and physical activity, a healthy diet, and mentally stimulating activities. In addition to lifestyle factors, scientists have found clues that some long-term health conditions, like heart disease, high blood pressure, and diabetes, are related to Alzheimer's disease. Its possible that controlling these conditions will reduce the risk of developing Alzheimers. Exercise and Physical Activity Studies show that exercise and other types of physical activity are good for our hearts, waistlines, and ability to carry out everyday activities. Research suggests that exercise may also play a role in reducing risk for Alzheimers disease. Animal studies show that exercise increases both the number of small blood vessels that supply blood to the brain and the number of connections between nerve cells in older rats and mice. In addition, researchers have found that exercise raises the level of a nerve growth factor (a protein key to brain health) in an area of the brain that is important to memory and learning.  See suggestions for ways older adults can start or continue to exercise. Diet and Dietary Supplements A number of studies suggest that eating certain foods may help keep the brain healthyand that others can be harmful. A diet that includes lots of fruits, vegetables, and whole grains and is low in fat and added sugar can reduce the risk of heart disease and diabetes. Researchers are looking at whether a healthy diet also can help prevent Alzheimers. One study reported that people who ate a Mediterranean diet had a 28 percent lower risk of developing MCI (mild cognitive impairment) and a 48 percent lower risk of progressing from MCI to Alzheimers disease. (MCI often, but not always, leads to Alzheimers dementia.) A Mediterranean diet includes vegetables, legumes, fruits, cereals, fish, olive oil, and low amounts of saturated fats, dairy products, meat, and poultry. For more about healthy eating as you age , see  Eating Well As You Get Older. Other research has looked at the effect on brain health of several different vitamins and dietary supplements. One area of research focuses on antioxidants, natural substances that appear to fight damage caused by molecules called free radicals. Other studies are looking at resveratrol, a compound found in red grapes and red wine, as well as vitamins and other substances found in food. Chronic Diseases Age-related diseases and conditionssuch as vascular disease, high blood pressure, heart disease, and diabetesmay increase the risk of Alzheimers. Many studies are looking at whether this risk can be reduced by preventing or controlling these diseases and conditions. For example, one clinical trial is looking at how lowering blood pressure to or below current recommended levels may affect cognitive decline and the development of MCI and Alzheimers disease. Participants are older adults with high systolic (upper number) blood pressure who have a history of heart disease or stroke, or are at risk for those conditions. Diabetes is another disease that has been linked to Alzheimers. Past research suggests that abnormal insulin production contributes to Alzheimers-related brain changes. (Insulin is the hormone involved in diabetes.) Diabetes treatments have been tested in people with Alzheimers, but the results have not been conclusive. Keeping the Brain Active Keeping the mind sharpthrough social engagement or intellectual stimulationis associated with a lower risk of Alzheimers disease. Activities like working, volunteering, reading, going to lectures, and playing computer and other games are being studied to see if they might help prevent Alzheimers. One clinical trial is testing the impact of formal cognitive training, with and without physical exercise, in people with MCI to see if it can prevent or delay Alzheimers disease. Other trials are underway in healthy older adults to see if exercise and/or cognitive training (for example, a demanding video game) can delay or prevent age-related cognitive decline. Find out about things you can do that may keep your brain healthy.",NIHSeniorHealth,Alzheimer's Disease,Neurological,True
What is (are) Rheumatoid Arthritis ?,"Rheumatoid arthritis (RA) is a form of arthritis that causes pain, swelling, stiffness and loss of function in your joints. It can affect any joint but is common in the wrist and fingers.    More women than men get rheumatoid arthritis. It often starts in middle age and is most common in older people. You might have the disease for only a short time, or symptoms might come and go. The severe form can last a lifetime.    Rheumatoid arthritis is different from osteoarthritis, the common arthritis that often comes with older age. RA can affect body parts besides joints, such as your eyes, mouth and lungs. RA is an autoimmune disease, which means the arthritis results from your immune system attacking your body's own tissues.    No one knows what causes rheumatoid arthritis. Genes, environment, and hormones might contribute. Treatments include medicine, lifestyle changes, and surgery. These can slow or stop joint damage and reduce pain and swelling.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",MPlusHealthTopics,Rheumatoid Arthritis,Musculoskeletal,True
What to do for Kidney Dysplasia ?,"- Kidney dysplasia is a condition in which the internal structures of one or both of a fetus kidneys do not develop normally while in the womb.  - Genetic factors can cause kidney dysplasia.  - Genetic syndromes that affect multiple body systems can also cause kidney dysplasia.  - A baby may also develop kidney dysplasia if his or her mother takes certain prescription medications during pregnancy, such as some used to treat seizures and high blood pressure.  - Many babies with kidney dysplasia in only one kidney have no signs of the condition.  - Health care providers may be able to diagnose kidney dysplasia during a womans pregnancy using a fetal ultrasound, also called a fetal sonogram.  - Health care providers do not always diagnose kidney dysplasia before a baby is born.  - If the condition is limited to one kidney and the baby has no signs of kidney dysplasia, no treatment may be necessary.  - Researchers have not found a way to prevent kidney dysplasia caused by genetic factors or certain genetic syndromes.  - Pregnant women can prevent kidney dysplasia by avoiding the use of certain prescription medications or illegal drugs during pregnancy.  - The long-term outlook for a child with kidney dysplasia in only one kidney is generally good.  - The long-term outlook for a child with kidney dysplasia in both kidneys is different from the long-term outlook for a child with one dysplastic kidney. A child with kidney dysplasia in both kidneys      - is more likely to develop chronic kidney disease (CKD)    - needs close follow-up with a pediatric nephrologist    - may eventually need dialysis or a kidney transplant",NIDDK,Kidney Dysplasia,Kidney/Renal,True
What are the symptoms of Rheumatoid Arthritis ?,"Rheumatoid arthritis is characterized by inflammation of the joint lining. This inflammation causes warmth, redness, swelling, and pain around the joints. The pain of rheumatoid arthritis varies greatly from person to person, for reasons that doctors do not yet understand completely. Factors that contribute to the pain include swelling within the joint, the amount of heat or redness present, or damage that has occurred within the joint.",NIHSeniorHealth,Rheumatoid Arthritis,Musculoskeletal,True
What are the complications of Ulcerative Colitis ?,"Complications of ulcerative colitis can include
                
- rectal bleedingwhen ulcers in the intestinal lining open and bleed. Rectal bleeding can cause anemia, which health care providers can treat with diet changes and iron supplements. People who have a large amount of bleeding in the intestine over a short period of time may require surgery to stop the bleeding. Severe bleeding is a rare complication of ulcerative colitis.  - dehydration and malabsorbtion, which occur when the large intestine is unable to absorb fluids and nutrients because of diarrhea and inflammation. Some people may need IV fluids to replace lost nutrients and fluids.  - changes in bones. Some corticosteroid medications taken to treat ulcerative colitis symptoms can cause      - osteoporosisthe loss of bone    - osteopenialow bone density
                
Health care providers will monitor people for bone loss and can recommend calcium and vitamin D supplements and medications to help prevent or slow bone loss.
                
- inflammation in other areas of the body. The immune system can trigger inflammation in the      - joints    - eyes    - skin    - liver
                
Health care providers can treat inflammation by adjusting medications or prescribing new medications.
                
- megacolona serious complication that occurs when inflammation spreads to the deep tissue layers of the large intestine. The large intestine swells and stops working. Megacolon can be a life-threatening complication and most often requires surgery. Megacolon is a rare complication of ulcerative colitis.
                

                
Ulcerative Colitis and Colon Cancer   People with ulcerative colitis may be more likely to develop colon cancer when   - ulcerative colitis affects the entire colon   - a person has ulcerative colitis for at least 8 years   - inflammation is ongoing   - people also have primary sclerosing cholangitis, a condition that affects the liver   - a person is male    People who receive ongoing treatment and remain in remission may reduce their chances of developing colon cancer.   People with ulcerative colitis should talk with their health care provider about how often they should get screened for colon cancer. Screening can include colonoscopy with biopsies or a special dye spray called chromoendoscopy.   Health care providers may recommend colonoscopy every 1 to 3 years for people with ulcerative colitis who have   - the disease in one-third or more or of their colon   - had ulcerative colitis for 8 years    Such screening does not reduce a person's chances of developing colon cancer. Instead, screening can help diagnose cancer early and improve chances for recovery.   Surgery to remove the entire colon eliminates the risk of colon cancer.",NIDDK,Ulcerative Colitis,Gastrointestinal,True
How to prevent COPD ?,"If you smoke, the most important thing you can do to prevent more lung damage is to stop smoking. It is also important to stay away from people who smoke and places where you know there will be smokers. Avoid exposure to pollutants like dust, fumes, and poor air quality, and take precautions to prevent flu and pneumonia. Following your doctor's instructions with medications and rehabilitative treatment can help alleviate COPD symptoms and control the disabling effects of the disease.",NIHSeniorHealth,COPD,Respiratory,True
Who is at risk for Kidney Disease? ?,"Diabetes and high blood pressure are the two leading risk factors for kidney disease. Both diabetes and high blood pressure damage the small blood vessels in your kidneys and can cause kidney disease -- without you feeling it.  There are several other risk factors for kidney disease. Cardiovascular (heart) disease is a risk factor. So is family history: if you have a mother, father, sister, or brother who has had kidney disease, then you are at increased risk. African Americans, Hispanics, and Native Americans tend to have a greater risk for kidney failure. This is mostly due to higher rates of diabetes and high blood pressure in these communities, although there may be other reasons. (Watch the video to learn more about the connection between heart disease and kidney disease. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)",NIHSeniorHealth,Kidney Disease,Kidney/Renal,True
What is (are) Rheumatoid Arthritis ?,"An Inflammatory, Autoimmune Disease Rheumatoid arthritis is an inflammatory disease that causes pain, swelling, stiffness, and loss of function in the joints. It can cause mild to severe symptoms. Rheumatoid arthritis not only affects the joints, but may also attack tissue in the skin, lungs, eyes, and blood vessels. People with rheumatoid arthritis may feel sick, tired, and sometimes feverish. Rheumatoid arthritis is classified as an autoimmune disease. An autoimmune disease occurs when the immune system turns against parts of the body it is designed to protect. Rheumatoid arthritis generally occurs in a symmetrical pattern. This means that if one knee or hand is involved, the other one is, too. It can occur at any age, but usually begins during a person's most productive years. Affects More Women Than Men Rheumatoid arthritis occurs much more frequently in women than in men. About two to three times as many women as men have the disease. Learn more about how rheumatoid arthritis occurs.  Effects Vary Rheumatoid arthritis affects people differently. Some people have mild or moderate forms of the disease, with periods of worsening symptoms, called flares, and periods in which they feel better, called remissions. Others have a severe form of the disease that is active most of the time, lasts for many years or a lifetime, and leads to serious joint damage and disability. Although rheumatoid arthritis is primarily a disease of the joints, its effects are not just physical. Many people with rheumatoid arthritis also experience issues related to - depression, anxiety  - feelings of helplessness  - low self-esteem. depression, anxiety feelings of helplessness low self-esteem. Rheumatoid arthritis can affect virtually every area of a persons life from work life to family life. It can also interfere with the joys and responsibilities of family life and may affect the decision to have children. Treatment Can Help Fortunately, current treatment strategies allow most people with the disease to lead active and productive lives. These strategies include pain-relieving drugs and medications that slow joint damage, a balance between rest and exercise, and patient education and support programs. In recent years, research has led to a new understanding of rheumatoid arthritis and has increased the likelihood that, in time, researchers will find even better ways to treat the disease.",NIHSeniorHealth,Rheumatoid Arthritis,Musculoskeletal,True
What are the treatments for Balance Problems ?,"In BPPV (benign paroxysmal positional vertigo), small calcium particles in the inner ear become displaced, causing dizziness. A doctor, otolaryngologist, audiologist, or physical therapist can treat BPPV by carefully moving the head and torso to move the displaced calcium particles back to their original position Learn more about causes and treatments for BPPV. An NIDCD-supported clinical trial in BPPV showed that repositioning maneuvers work well, and offered clinicians a range of choices in selecting the treatment best suited to each individuals unique needs.",NIHSeniorHealth,Balance Problems,Neurological,True
How to prevent High Blood Pressure ?,"Healthy lifestyle habits, proper use of medicines, and regular medical care can prevent high blood pressure or its complications.
                
Preventing High Blood Pressure Onset
                
Healthy lifestyle habits can help prevent high blood pressure from developing. It is important to check your blood pressure regularly. Children should have their blood pressure checked starting at 3 years of age. If prehypertension is detected, it should be taken seriously to avoid progressing to high blood pressure. 
                
Preventing Worsening High Blood Pressure or Complications
                
If you have been diagnosed with high blood pressure, it is important to obtain regular medical care and to follow your prescribed treatment plan, which will include healthy lifestyle habit recommendations and possibly medicines. Not only can healthy lifestyle habits prevent high blood pressure from occurring, but they can reverse prehypertension and help control existing high blood pressure or prevent complications and long-term problems associated with this condition, such as coronary heart disease, stroke, or kidney disease.",NHLBI,High Blood Pressure,Cardiovascular,True
What is (are) Stroke ?,"Some brain cells die because they stop getting the oxygen and nutrients they need to function. Other brain cells die because they are damaged by sudden bleeding into or around the brain. The brain cells that don't die immediately remain at risk for death. These cells can linger in a compromised or weakened state for several hours. With timely treatment these cells can be saved. Knowing stroke symptoms, calling 911 immediately, and getting to a hospital as quickly as possible are critical.",NIHSeniorHealth,Stroke,Neurological,True
